day_mean_param,momentum_param,half_life,score
15.0,15.0,55.0,0.0324087122
15.0,15.0,65.0,0.032410396
15.0,15.0,75.0,0.0324115044
15.0,15.0,85.0,0.032411607
15.0,15.0,95.0,0.0324126448
15.0,25.0,5.0,0.030587761
15.0,25.0,15.0,0.0306243627
15.0,25.0,25.0,0.0306438672
15.0,25.0,35.0,0.0306536018
15.0,25.0,45.0,0.0306593739
15.0,25.0,55.0,0.0306631763
15.0,25.0,65.0,0.0306658235
15.0,25.0,75.0,0.030667694
15.0,25.0,85.0,0.0306685046
15.0,25.0,95.0,0.030669563
15.0,35.0,5.0,0.0320249802
15.0,35.0,15.0,0.0320246412
15.0,35.0,25.0,0.0320360615
15.0,35.0,35.0,0.0320422728
15.0,35.0,45.0,0.0320460703
15.0,35.0,55.0,0.0320486738
15.0,35.0,65.0,0.0320505691
15.0,35.0,75.0,0.0320521432
15.0,35.0,85.0,0.0320531139
15.0,35.0,95.0,0.0320547929
15.0,45.0,5.0,0.0315574147
15.0,45.0,15.0,0.0315782713
15.0,45.0,25.0,0.0315939666
15.0,45.0,35.0,0.0316019893
15.0,45.0,45.0,0.0316067826
15.0,45.0,55.0,0.0316099332
15.0,45.0,65.0,0.0316121701
15.0,45.0,75.0,0.0316137151
15.0,45.0,85.0,0.0316148409
15.0,45.0,95.0,0.0316154591
15.0,55.0,5.0,0.0307822728
15.0,55.0,15.0,0.0308324455
15.0,55.0,25.0,0.0308549618
15.0,55.0,35.0,0.0308660099
15.0,55.0,45.0,0.0308725037
15.0,55.0,55.0,0.0308768034
15.0,55.0,65.0,0.0308797742
15.0,55.0,75.0,0.0308820035
15.0,55.0,85.0,0.0308835348
15.0,55.0,95.0,0.030885106
15.0,65.0,5.0,0.032868424
15.0,65.0,15.0,0.0328843862
15.0,65.0,25.0,0.0328986404
15.0,65.0,35.0,0.0329060023
15.0,65.0,45.0,0.0329104241
15.0,65.0,55.0,0.0329134024
15.0,65.0,65.0,0.0329155233
15.0,65.0,75.0,0.0329171339
15.0,65.0,85.0,0.032918129
15.0,65.0,95.0,0.0329197946
15.0,75.0,5.0,0.0295053997
15.0,75.0,15.0,0.0295871419
15.0,75.0,25.0,0.0296157867
15.0,75.0,35.0,0.0296294389
15.0,75.0,45.0,0.0296373776
15.0,75.0,55.0,0.0296425886
15.0,75.0,65.0,0.0296463018
15.0,75.0,75.0,0.029649106
15.0,75.0,85.0,0.0296509117
15.0,75.0,95.0,0.0296532369
15.0,85.0,5.0,0.033360215
15.0,85.0,15.0,0.0334351009
15.0,85.0,25.0,0.0334603677
15.0,85.0,35.0,0.0334723504
15.0,85.0,45.0,0.0334793059
15.0,85.0,55.0,0.0334838434
15.0,85.0,65.0,0.0334869986
15.0,85.0,75.0,0.0334892853
15.0,85.0,85.0,0.0334904488
15.0,85.0,95.0,0.0334919184
15.0,95.0,5.0,0.0336302025
15.0,95.0,15.0,0.0336759345
15.0,95.0,25.0,0.0336945661
15.0,95.0,35.0,0.0337036163
15.0,95.0,45.0,0.0337089269
15.0,95.0,55.0,0.0337123889
15.0,95.0,65.0,0.0337148243
15.0,95.0,75.0,0.0337167063
15.0,95.0,85.0,0.0337176911
15.0,95.0,95.0,0.0337186567
20.0,15.0,5.0,0.0319934083
20.0,15.0,15.0,0.0319623772
20.0,15.0,25.0,0.0319646754
20.0,15.0,35.0,0.0319666647
20.0,15.0,45.0,0.0319680392
20.0,15.0,55.0,0.0319690072
20.0,15.0,65.0,0.0319696707
20.0,15.0,75.0,0.0319701512
20.0,15.0,85.0,0.0319701288
20.0,15.0,95.0,0.0319703791
20.0,25.0,5.0,0.030467824
20.0,25.0,15.0,0.0304630595
20.0,25.0,25.0,0.0304712256
20.0,25.0,35.0,0.030475794
20.0,25.0,45.0,0.030478626
20.0,25.0,55.0,0.0304805518
20.0,25.0,65.0,0.0304819558
20.0,25.0,75.0,0.0304831819
20.0,25.0,85.0,0.0304839892
20.0,25.0,95.0,0.0304857999
20.0,35.0,5.0,0.0320174888
20.0,35.0,15.0,0.0319826482
20.0,35.0,25.0,0.0319842113
20.0,35.0,35.0,0.0319858992
20.0,35.0,45.0,0.0319871195
20.0,35.0,55.0,0.0319879942
20.0,35.0,65.0,0.0319886673
20.0,35.0,75.0,0.0319894044
20.0,35.0,85.0,0.0319898992
20.0,35.0,95.0,0.0319907895
20.0,45.0,5.0,0.0314872761
20.0,45.0,15.0,0.0314710272
20.0,45.0,25.0,0.0314760997
20.0,45.0,35.0,0.0314792504
